,CodigoDistribuidor,Mes,CodigoFecha,Ventas,Ventas_acumuladas,Ventas_last_1,Ventas_acumuladas_last_1,Ventas_last_2,Ventas_acumuladas_last_2,Ventas_last_3,Ventas_acumuladas_last_3,Ventas_last_4,Ventas_acumuladas_last_4,Ventas_last_5,Ventas_acumuladas_last_5,Ventas_last_6,Ventas_acumuladas_last_6,Ventas_last_7,Ventas_acumuladas_last_7,Day
0,787878,1,2020-01-04,314.2544,314.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,787878,1,2020-01-06,26166.2452,26480.499600000003,314.2544,314.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2,787878,1,2020-01-07,16151.7701,42632.269700000004,26166.2452,26480.499600000003,314.2544,314.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3,787878,1,2020-01-08,35173.0241,77805.29380000001,16151.7701,42632.269700000004,26166.2452,26480.499600000003,314.2544,314.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4,787878,1,2020-01-09,23106.821,100912.11480000001,35173.0241,77805.29380000001,16151.7701,42632.269700000004,26166.2452,26480.499600000003,314.2544,314.2544,0.0,0.0,0.0,0.0,0.0,0.0,9
5,787878,1,2020-01-10,31496.4989,132408.61370000002,23106.821,100912.11480000001,35173.0241,77805.29380000001,16151.7701,42632.269700000004,26166.2452,26480.499600000003,314.2544,314.2544,0.0,0.0,0.0,0.0,10
6,787878,1,2020-01-11,24647.5319,157056.14560000002,31496.4989,132408.61370000002,23106.821,100912.11480000001,35173.0241,77805.29380000001,16151.7701,42632.269700000004,26166.2452,26480.499600000003,314.2544,314.2544,0.0,0.0,11
7,787878,1,2020-01-13,14185.7367,171241.88230000003,24647.5319,157056.14560000002,31496.4989,132408.61370000002,23106.821,100912.11480000001,35173.0241,77805.29380000001,16151.7701,42632.269700000004,26166.2452,26480.499600000003,314.2544,314.2544,13
8,787878,1,2020-01-14,10975.6765,182217.55880000003,14185.7367,171241.88230000003,24647.5319,157056.14560000002,31496.4989,132408.61370000002,23106.821,100912.11480000001,35173.0241,77805.29380000001,16151.7701,42632.269700000004,26166.2452,26480.499600000003,14
9,787878,1,2020-01-15,21551.9315,203769.49030000003,10975.6765,182217.55880000003,14185.7367,171241.88230000003,24647.5319,157056.14560000002,31496.4989,132408.61370000002,23106.821,100912.11480000001,35173.0241,77805.29380000001,16151.7701,42632.269700000004,15
10,787878,1,2020-01-16,16756.9741,220526.46440000003,21551.9315,203769.49030000003,10975.6765,182217.55880000003,14185.7367,171241.88230000003,24647.5319,157056.14560000002,31496.4989,132408.61370000002,23106.821,100912.11480000001,35173.0241,77805.29380000001,16
11,787878,1,2020-01-17,22690.5581,243217.02250000002,16756.9741,220526.46440000003,21551.9315,203769.49030000003,10975.6765,182217.55880000003,14185.7367,171241.88230000003,24647.5319,157056.14560000002,31496.4989,132408.61370000002,23106.821,100912.11480000001,17
12,787878,1,2020-01-18,9216.0908,252433.11330000003,22690.5581,243217.02250000002,16756.9741,220526.46440000003,21551.9315,203769.49030000003,10975.6765,182217.55880000003,14185.7367,171241.88230000003,24647.5319,157056.14560000002,31496.4989,132408.61370000002,18
13,787878,1,2020-01-20,19705.3291,272138.4424,9216.0908,252433.11330000003,22690.5581,243217.02250000002,16756.9741,220526.46440000003,21551.9315,203769.49030000003,10975.6765,182217.55880000003,14185.7367,171241.88230000003,24647.5319,157056.14560000002,20
14,787878,1,2020-01-21,9572.8886,281711.331,19705.3291,272138.4424,9216.0908,252433.11330000003,22690.5581,243217.02250000002,16756.9741,220526.46440000003,21551.9315,203769.49030000003,10975.6765,182217.55880000003,14185.7367,171241.88230000003,21
