,CodigoDistribuidor,Mes,Ventas_last_1,Ventas_acumuladas_last_1,Ventas_last_2,Ventas_acumuladas_last_2,Ventas_last_3,Ventas_acumuladas_last_3,Ventas_last_4,Ventas_acumuladas_last_4,Ventas_last_5,Ventas_acumuladas_last_5,Ventas_last_6,Ventas_acumuladas_last_6,Ventas_last_7,Ventas_acumuladas_last_7,Day,prediccion
90,787878,4,13600.7272,173286.2998,22872.4659,159685.5726,8377.3978,136813.1067,8100.0334,128435.70890000001,11640.2204,108695.4551,10969.406,97726.0491,8632.2284,97726.0491,22,187911.9777187561
182,ABANCAY.01.68040,4,21847.3679,161458.95229999998,3721.0599,139611.58439999996,7633.7372,135890.52449999997,9362.7461,128256.78729999998,18842.8049,100051.23629999998,5864.6189,94186.61739999997,11940.5103,94186.61739999997,22,171185.62732755902
275,ANDAHUAYLAS.01.68039,4,32444.0082,260283.815,6082.7104,227839.8068,7125.8704,221757.09639999998,7118.0968,214631.226,12673.4783,194839.6509,48646.7484,146192.90250000003,10508.0069,146192.90250000003,22,272884.17823045404
367,AREQUIPA.01.146498,4,41495.4783,529776.5081,2759.3027,488281.02979999996,25502.3436,485521.72709999996,12255.1959,460019.38349999994,20980.1117,426784.07589999994,17241.5608,409542.51509999996,34735.6213,409542.51509999996,22,557479.9734064753
460,AREQUIPA.01.164428,4,11747.3074,217151.13669999997,9787.9229,205403.82929999998,11462.6194,195615.90639999998,12994.2874,184153.28699999998,29315.5378,141843.4618,16960.8072,124882.65459999998,2823.328,124882.65459999998,22,229452.8797856828
547,AREQUIPA.01.166264,4,11035.7007,342418.5182,25257.6274,331382.8175,21974.059,306125.1901,24339.3745,284151.1311,18000.0035,241811.75310000003,15832.4474,225979.30570000003,28693.5591,225979.30570000003,22,358234.10036570404
640,AREQUIPA.01.17959,4,5761.65,84811.45,4519.03,79049.8,6115.74,74530.77,6630.62,68415.03,4247.63,57536.78,6073.46,51463.32,3654.22,51463.32,22,98163.72651924656
735,AREQUIPA.01.252854,4,23965.4,1264324.0200000003,16968.62,1240358.6200000003,25717.35,1223390.0000000002,25491.84,1197672.6500000001,37946.95,1134233.86,50128.12,1084105.74,61189.88,1084105.74,22,1311725.115218548
813,AREQUIPA.02.146498,4,1357.9703,22580.207599999998,-601.5759,21222.237299999997,289.571,21823.813199999997,164.4094,21534.242199999997,2021.9211,19347.911699999997,-222.0679,19569.9796,17284.0272,19569.9796,22,35292.02102156747
904,AYACUCHO.01.80420,4,17193.2289,405987.3411,25635.3742,388794.11220000003,39717.7338,363158.738,12696.1803,323441.0042,28325.3801,282419.4438,18068.3229,264351.1209,26843.0184,264351.1209,22,425513.5093615156
997,AYACUCHO.01.98241,4,9910.7425,160009.62120000002,3281.7966,150098.87870000003,7894.8825,146817.08210000003,8402.9131,138922.19960000002,5497.7826,125021.50390000001,7029.8336,117991.67030000001,9732.3071,117991.67030000001,22,168762.17344349157
1075,CAJAMARCA.01-1.55658,4,63366.2,314086.71,14464.34,250720.51,26334.13,236256.17,11291.19,209922.04,28157.4,170473.45,31578.61,138894.84,17983.39,138894.84,22,335909.0906911119
1250,CHACHAPOYAS.01.252852,4,4200.6866,69022.13780000001,3649.9514,64821.45120000002,3268.1986,61171.49980000002,332.4247,57903.301200000016,1030.6502,56540.22630000001,5764.7752,50775.451100000006,10169.2424,50775.451100000006,22,82578.9836011443
1429,CHACHAPOYAS.02.98056,4,4552.81,95883.49999999999,6791.54,91330.68999999999,8338.78,84539.15,59.32,76200.37,5164.01,70977.04,8562.49,62414.549999999996,7262.63,62414.549999999996,22,109369.42935390066
1529,CHEPEN.01.244717,4,22933.21,95874.76000000001,6325.33,72941.55,9919.46,66616.22,4394.57,56696.76000000001,9247.65,43054.54000000001,4183.98,38870.560000000005,3239.5,38870.560000000005,22,105553.27320324404
1619,CHICLAYO.01.11275,4,12601.7283,452467.80909999995,24008.5242,439866.08079999994,16132.3043,415857.55659999995,13718.7201,399725.25229999993,15392.4312,370614.10099999997,17023.404,353590.697,11098.812,353590.697,22,468791.42480111984
1709,CHICLAYO.01.160469,4,14275.0493,385449.13969999994,14657.9309,371174.0903999999,16538.2291,356516.15949999995,21205.3464,339977.93039999995,16722.9897,302049.5943,17077.8206,284971.7737,10333.8535,284971.7737,22,400964.238610168
1802,CHICLAYO.01.66043,4,30050.6,680185.23,22608.8,650134.63,24496.82,627525.83,40772.67,603029.01,42533.03,519723.31,45221.7,474501.61,90510.63,474501.61,22,712996.4094172285
1882,CHIMBOTE.01.246368,4,8058.35,193489.97000000003,25942.82,185431.62000000002,15633.16,159488.80000000002,10323.11,143855.64,8921.12,124611.41000000002,5910.7,118700.71000000002,11017.18,118700.71000000002,22,208684.7860984484
1973,CHIMBOTE.01.82325,4,9467.75,222712.30999999997,13504.93,213244.55999999997,14939.55,199739.62999999998,12305.9,184800.08,7305.49,165188.69,9885.45,155303.24,9298.55,155303.24,22,241175.77811771655
2054,CHIMBOTE.03.91419,4,18946.08,455626.3,24568.67,436680.22,21361.94,412111.55,28453.7,390749.61,19718.41,342577.5,29678.33,312899.17,32951.83,312899.17,22,472986.0647177532
2143,CHINCHA.01.129512,4,20343.7872,324452.13060000003,19466.1009,304108.3434,24598.109,284642.2425,22465.6165,260044.1335,21708.1265,215870.3905,22272.3293,193598.0612,24987.0338,193598.0612,22,346637.0111049554
2236,CHINCHA.01.67882,4,16026.6279,344317.85599999997,87923.9573,328291.22809999995,17765.7738,240367.27079999997,15577.1036,222601.49699999997,11054.8284,195969.56499999997,13193.2941,182776.27089999997,14793.9814,182776.27089999997,22,367130.52089107543
2346,CORPORACION.VEGA,4,22142.4543,545595.4990000001,23377.6691,523453.0447,25718.4723,500075.3756,14905.7025,474356.9033,23403.3247,436047.8761,19331.265,416716.6111,30942.1851,416716.6111,22,563742.9459705276
2424,CUZCO.02-1.11172,4,56635.6,969296.96,21502.45,912661.36,49605.16,891158.91,151846.58,841553.75,40016.02,649691.15,158736.91,490954.24,36325.37,490954.24,22,991224.4639809977
2608,HUANCAYO.01.132063,4,3292.5072,142934.7843,6553.5579,139642.2771,9947.6188,133088.7192,4839.2827,123141.1004,13423.3441,104878.4736,5517.6606,99360.813,10914.086,99360.813,22,153670.79740704419
2702,HUANUCO.01.134793,4,14438.1274,87846.09469999999,3999.4075,73407.96729999999,2251.1993,69408.55979999999,4545.5708,67157.3605,2790.6636,59821.1261,3925.3848,55895.7413,8189.0102,55895.7413,22,94873.15513845027
2797,HUANUCO.01.66959,4,777.6,27971.269999999993,335.04,27193.669999999995,1247.98,26858.629999999994,367.1,25610.649999999994,916.14,24327.409999999996,2416.96,21910.449999999997,8780.58,21910.449999999997,22,33822.07736872391
2871,HUANUCO.02.88017,4,2256.3,140185.16999999998,14865.3,137928.87,7727.4,123063.57,13803.35,115336.17000000001,15274.8,86258.02,161.7,86096.32,20130.02,86096.32,22,152962.32882367307
2963,Huanuco.01.88017,4,15187.39,339431.54000000004,28140.31,324244.15,2194.09,296103.84,3301.42,293909.75,5078.58,285529.75,19551.34,265978.41,10850.41,265978.41,22,353351.7551423302
3054,Huaraz.01.46178,4,2883.73,156415.39,2581.15,153531.66,9374.64,150950.51,23077.62,141575.87,22284.43,96213.82,2799.1,93414.72,3772.77,93414.72,22,164379.3528753884
3239,ICA.01.152571,4,22442.1112,285465.4781,14662.5691,263023.3669,17323.1964,248360.7978,14125.0951,231037.6014,14957.5576,201954.9487,18784.2648,183170.6839,18175.0834,183170.6839,22,302238.20650383225
